iHOT频道,#genre#
爱赛车,http://171.213.145.170:9999/rtp/239.93.42.20:5140$1920x1080
爱赛车,http://171.88.175.52:8888/rtp/239.93.42.20:5140$1920x1080
爱赛车,http://xeace.cn:8888/rtp/239.93.42.20:5140$1920x1080
爱赛车,http://171.213.196.59:5555/rtp/239.93.42.20:5140$1920x1080
爱赛车,http://171.213.140.207:5555/rtp/239.93.42.20:5140$1920x1080
爱赛车,http://yuzhe.ltd:5555/rtp/239.93.42.20:5140$1920x1080
爱玩具,http://171.213.130.195:8086/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://220.166.248.4:4022/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://171.213.128.195:3333/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://125.71.159.29:6666/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://171.213.145.170:9999/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://171.88.175.52:8888/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://xeace.cn:8888/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://171.213.196.59:5555/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://171.213.140.207:5555/rtp/239.93.42.18:5140$1920x1080
爱玩具,http://yuzhe.ltd:5555/rtp/239.93.42.18:5140$1920x1080
爱喜剧,http://171.213.130.195:8086/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://220.166.248.4:4022/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://171.213.128.195:3333/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://125.71.159.29:6666/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://171.213.145.170:9999/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://171.88.175.52:8888/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://xeace.cn:8888/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://171.213.196.59:5555/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://171.213.140.207:5555/rtp/239.93.42.9:5140$1920x1080
爱喜剧,http://yuzhe.ltd:5555/rtp/239.93.42.9:5140$1920x1080
爱悬疑,http://171.213.130.195:8086/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://220.166.248.4:4022/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://171.213.128.195:3333/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://125.71.159.29:6666/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://171.213.145.170:9999/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://171.88.175.52:8888/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://xeace.cn:8888/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://171.213.196.59:5555/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://171.213.140.207:5555/rtp/239.93.42.12:5140$1920x1080
爱悬疑,http://yuzhe.ltd:5555/rtp/239.93.42.12:5140$1920x1080
爱幼教,http://171.213.130.195:8086/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://220.166.248.4:4022/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://171.213.128.195:3333/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://125.71.159.29:6666/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://171.213.145.170:9999/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://171.88.175.52:8888/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://xeace.cn:8888/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://171.213.196.59:5555/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://171.213.140.207:5555/rtp/239.93.42.17:5140$1920x1080
爱幼教,http://yuzhe.ltd:5555/rtp/239.93.42.17:5140$1920x1080
爱院线,http://171.213.130.195:8086/rtp/239.93.42.11:5140$1920x1080
爱院线,http://220.166.248.4:4022/rtp/239.93.42.11:5140$1920x1080
爱院线,http://171.213.128.195:3333/rtp/239.93.42.11:5140$1920x1080
爱院线,http://125.71.159.29:6666/rtp/239.93.42.11:5140$1920x1080
爱院线,http://171.213.145.170:9999/rtp/239.93.42.11:5140$1920x1080
爱院线,http://171.88.175.52:8888/rtp/239.93.42.11:5140$1920x1080
爱院线,http://xeace.cn:8888/rtp/239.93.42.11:5140$1920x1080
爱院线,http://171.213.196.59:5555/rtp/239.93.42.11:5140$1920x1080
爱院线,http://171.213.140.207:5555/rtp/239.93.42.11:5140$1920x1080
爱院线,http://yuzhe.ltd:5555/rtp/239.93.42.11:5140$1920x1080
CHC高清电影,http://111.165.2.160:4022/rtp/225.1.1.214:5002$1920x1080
CHC高清电影,http://125.37.162.223:4022/rtp/225.1.1.214:5002$1920x1080
CHC高清电影,http://221.205.201.216:8084/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://221.205.201.216:8083/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://116.179.148.245:8000/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://125.43.42.143:9999/rtp/225.1.4.207:1260$1920x1080
CHC高清电影,http://171.116.226.246:8082/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://171.117.125.2:8083/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://119.98.124.146:4022/rtp/239.69.1.241:11088$1920x1080
CHC高清电影,http://221.205.202.8:8084/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://171.116.226.246:8085/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://220.176.218.6:8888/rtp/239.252.219.83:5140$1920x1080
CHC高清电影,http://171.116.226.246:8084/rtp/226.0.2.93:8004$1920x1080
CHC高清电影,http://enlen.vip:4022/rtp/239.200.201.34:8148$1920x1080
CHC高清电影,http://183.185.227.252:8001/rtp/226.0.2.93:8004$1920x1080
CHC家庭影院,http://122.191.206.188:888/rtp/228.0.0.211:6108$1920x1080
CHC家庭影院,http://111.175.166.209:8686/rtp/239.69.1.243:11100$1920x1080
CHC家庭影院,http://119.98.51.196:4022/rtp/239.69.1.243:11100$1920x1080
CHC家庭影院,http://59.173.55.176:4022/rtp/239.69.1.243:11100$1920x1080
CHC家庭影院,http://119.98.124.146:4022/rtp/239.69.1.243:11100$1920x1080
CHC家庭影院,http://182.84.232.23:9999/rtp/239.252.219.84:5140$1920x1080
CHC家庭影院,http://220.176.218.6:8888/rtp/239.252.219.84:5140$1920x1080
CHC家庭影院,http://36.49.51.252:30007/rtp/239.37.0.188:5540$1920x1080
CHC家庭影院,http://42.237.182.204:4000/rtp/225.1.4.209:1262$1920x1080
CHC家庭影院,http://125.43.42.143:9999/rtp/225.1.4.209:1262$1920x1080
CHC家庭影院,http://116.179.148.245:8000/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://171.116.226.246:8084/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://124.163.23.58:6001/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://171.118.211.120:8084/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://116.135.2.208:8083/rtp/226.0.2.240:9820$1920x1080
CHC动作电影,http://122.191.206.188:888/rtp/228.0.0.212:6108$1920x1080
CHC动作电影,http://111.175.166.209:8686/rtp/239.69.1.242:11094$1920x1080
CHC动作电影,http://119.98.51.196:4022/rtp/239.69.1.242:11094$1920x1080
CHC动作电影,http://59.173.55.176:4022/rtp/239.69.1.242:11094$1920x1080
CHC动作电影,http://119.98.124.146:4022/rtp/239.69.1.242:11094$1920x1080
CHC动作电影,http://182.84.232.23:9999/rtp/239.252.219.85:5140$1920x1080
CHC动作电影,http://220.176.218.6:8888/rtp/239.252.219.85:5140$1920x1080
CHC动作电影,http://36.49.51.252:30007/rtp/239.37.0.186:5540$1920x1080
CHC动作电影,http://42.237.182.204:4000/rtp/225.1.4.208:1261$1920x1080
CHC动作电影,http://125.43.42.143:9999/rtp/225.1.4.208:1261$1920x1080
CHC动作电影,http://116.179.148.245:8000/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://171.116.226.246:8084/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://124.163.23.58:6001/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://171.118.211.120:8084/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://116.135.2.208:8083/rtp/226.0.2.94:8012$1920x1080
广东频道,#genre#
广DA珠江,http://61.143.227.162:10000/rtp/239.77.0.1:5146$1920x1080
广DA新闻,http://61.143.227.162:10000/rtp/239.77.0.173:5146$1920x1080
广DA民生,http://61.143.227.162:10000/rtp/239.77.0.225:5146$1920x1080
广DA体育,http://61.143.227.162:10000/rtp/239.77.0.112:5146$1920x1080
广DA经济科教,http://61.143.227.162:10000/rtp/239.77.0.85:5146$1920x1080
广DA大湾区,http://61.143.227.162:10000/rtp/239.77.0.215:5146$1920x1080
广DA影视,http://61.143.227.162:10000/rtp/239.77.0.217:5146$1920x1080
广DA少儿,http://61.143.227.162:10000/rtp/239.77.0.250:5146$1920x1080
广DB揭阳综合,http://61.143.227.162:10000/rtp/239.77.0.229:5146$1920x1080
广DB揭阳生活,http://61.143.227.162:10000/rtp/239.77.0.251:5146$1920x1080
广DS深圳都市,http://61.143.227.162:10000/rtp/239.77.1.124:5146$1920x1080
广DS深圳影视,http://61.143.227.162:10000/rtp/239.77.1.125:5146$1920x1080
广DS深圳财经,http://61.143.227.162:10000/rtp/239.77.1.242:5146$1920x1080
广DS深圳娱乐,http://61.143.227.162:10000/rtp/239.77.1.243:5146$1920x1080
广DS深圳少儿,http://61.143.227.162:10000/rtp/239.77.1.244:5146$1920x1080
广DS深圳公共,http://61.143.227.162:10000/rtp/239.77.1.178:5146$1920x1080
广DS深圳宝安,http://61.143.227.162:10000/rtp/239.77.1.67:5146$1920x1080
广DS深圳龙岗,http://61.143.227.162:10000/rtp/239.77.1.223:5146$1920x1080
广DS深圳东部,http://61.143.227.162:10000/rtp/239.77.1.224:5146$1920x1080
广DS深圳众创,http://61.143.227.162:10000/rtp/239.77.1.247:5146$1920x1080
广DC汕尾新闻,http://61.143.227.162:10000/rtp/239.77.0.25:5146$1920x1080
广DC汕尾文化,http://61.143.227.162:10000/rtp/239.77.0.187:5146$1920x1080
广DJ江门综合,http://61.143.227.162:10000/rtp/239.77.0.201:5146$1920x1080
广DJ江门侨乡,http://61.143.227.162:10000/rtp/239.77.0.202:5146$1920x1080
广DHZTV1,http://61.143.227.162:10000/rtp/239.77.1.232:5146$1920x1080
广DHZTV2,http://61.143.227.162:10000/rtp/239.77.1.233:5146$1920x1080
广DZ珠海1,http://61.143.227.162:10000/rtp/239.77.0.155:5146$1920x1080
广DZ珠海2,http://61.143.227.162:10000/rtp/239.77.0.154:5146$1920x1080
广DC汕头综合,http://61.143.227.162:10000/rtp/239.253.43.45:5146$1920x1080
广DC汕头经济,http://61.143.227.162:10000/rtp/239.77.1.131:5146$1920x1080
广DC汕头文旅,http://61.143.227.162:10000/rtp/239.77.1.132:5146$1920x1080
广DG佛山公共,http://61.143.227.162:10000/rtp/239.253.43.53:5146$1920x1080
广DG佛山南海,http://61.143.227.162:10000/rtp/239.253.43.54:5146$1920x1080
广DG佛山顺德,http://61.143.227.162:10000/rtp/239.253.43.55:5146$1920x1080
广DG佛山影视,http://61.143.227.162:10000/rtp/239.253.43.56:5146$1920x1080
广DG佛山综合,http://61.143.227.162:10000/rtp/239.253.43.57:5146$1920x1080
广DS东莞新闻,http://61.143.227.162:10000/rtp/239.253.43.104:5146$1920x1080
广DS东莞生活,http://61.143.227.162:10000/rtp/239.253.43.105:5146$1920x1080
广DG中山综合,http://61.143.227.162:10000/rtp/239.253.43.62:5146$1920x1080
广DG香山文化,http://61.143.227.162:10000/rtp/239.253.43.63:5146$1920x1080
广DG中山教育,http://61.143.227.162:10000/rtp/239.253.43.64:5146$1920x1080
广DW房产,http://61.143.227.162:10000/rtp/239.77.0.14:5146$1920x1080
广DW综合,http://61.143.227.162:10000/rtp/239.253.43.71:5146$1920x1080
广DW法治,http://61.143.227.162:10000/rtp/239.253.43.74:5146$1920x1080
重庆频道,#genre#
北京频道,#genre#
卡酷少儿,http://42.92.117.243:8888/rtp/239.255.29.38:8231$1920x1080
卡酷少儿,http://60.164.128.167:8029/rtp/239.255.29.38:8231$1920x1080
卡酷少儿,http://124.64.183.179:8686/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://116.226.14.76:8888/rtp/239.45.0.8:5140$1920x1080
卡酷少儿,http://114.249.234.227:8182/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://222.128.183.216:8383/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://123.113.182.168:9000/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://123.122.162.7:19999/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://123.122.163.183:19999/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://123.123.167.240:8000/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://116.226.25.48:4022/rtp/239.45.0.8:5140$1920x1080
卡酷少儿,http://123.113.106.229:4022/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://114.243.96.249:8888/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://123.117.36.74:4001/rtp/239.3.1.189:8000$1920x1080
卡酷少儿,http://101.224.148.168:5022/rtp/239.45.0.8:5140$1920x1080
IPT淘剧场,http://114.249.234.227:8182/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://111.194.239.82:6060/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://124.64.183.179:8686/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.113.182.168:9000/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.113.106.229:4022/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.117.36.74:4001/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.122.162.7:19999/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://114.243.106.85:8888/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://114.252.225.255:8000/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://222.129.33.14:8888/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.122.163.183:19999/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.113.237.160:8888/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://123.123.167.240:8000/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://114.243.156.93:8888/rtp/239.3.1.95:8001$1920x1080
IPT淘剧场,http://222.128.183.216:8383/rtp/239.3.1.95:8001$1920x1080
IPT淘娱乐,http://114.249.234.227:8182/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://111.194.239.82:6060/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://124.64.183.179:8686/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.113.182.168:9000/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.113.106.229:4022/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.117.36.74:4001/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.122.162.7:19999/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://114.243.106.85:8888/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://114.252.225.255:8000/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://222.129.33.14:8888/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.122.163.183:19999/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.113.237.160:8888/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://123.123.167.240:8000/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://114.243.156.93:8888/rtp/239.3.1.100:8001$1920x1080
IPT淘娱乐,http://222.128.183.216:8383/rtp/239.3.1.100:8001$1920x1080
IPT淘贝比,http://114.249.234.227:8182/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://111.194.239.82:6060/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://124.64.183.179:8686/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.113.182.168:9000/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.113.106.229:4022/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.117.36.74:4001/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.122.162.7:19999/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://114.243.106.85:8888/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://114.252.225.255:8000/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://222.129.33.14:8888/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.122.163.183:19999/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.113.237.160:8888/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://123.123.167.240:8000/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://114.243.156.93:8888/rtp/239.3.1.238:8001$1920x1080
IPT淘贝比,http://222.128.183.216:8383/rtp/239.3.1.238:8001$1920x1080
IPT淘萌宠,http://114.249.234.227:8182/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://111.194.239.82:6060/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://124.64.183.179:8686/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.113.182.168:9000/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.113.106.229:4022/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.117.36.74:4001/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.122.162.7:19999/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://114.243.106.85:8888/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://114.252.225.255:8000/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://222.129.33.14:8888/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.122.163.183:19999/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.113.237.160:8888/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://123.123.167.240:8000/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://114.243.156.93:8888/rtp/239.3.1.102:8001$1920x1080
IPT淘萌宠,http://222.128.183.216:8383/rtp/239.3.1.102:8001$1920x1080
IPT淘电影,http://114.249.234.227:8182/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://111.194.239.82:6060/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://124.64.183.179:8686/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.113.182.168:9000/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.113.106.229:4022/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.117.36.74:4001/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.122.162.7:19999/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://114.243.106.85:8888/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://114.252.225.255:8000/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://222.129.33.14:8888/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.122.163.183:19999/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.113.237.160:8888/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://123.123.167.240:8000/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://114.243.156.93:8888/rtp/239.3.1.250:8001$1920x1080
IPT淘电影,http://222.128.183.216:8383/rtp/239.3.1.250:8001$1920x1080
北JA体育休闲,http://114.249.234.227:8182/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://111.194.239.82:6060/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://124.64.183.179:8686/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.113.182.168:9000/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.113.106.229:4022/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.117.36.74:4001/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.122.162.7:19999/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://114.243.106.85:8888/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://114.252.225.255:8000/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://222.129.33.14:8888/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.122.163.183:19999/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.113.237.160:8888/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://123.123.167.240:8000/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://114.243.156.93:8888/rtp/239.3.1.243:8000$1920x1080
北JA体育休闲,http://222.128.183.216:8383/rtp/239.3.1.243:8000$1920x1080
北JA财经高清,http://114.249.234.227:8182/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://111.194.239.82:6060/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://124.64.183.179:8686/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://123.113.182.168:9000/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://123.113.106.229:4022/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://123.117.36.74:4001/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://123.122.162.7:19999/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://114.243.106.85:8888/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://114.252.225.255:8000/rtp/239.3.1.116:8000$1920x1080
北JA财经高清,http://222.129.33.14:8888/rtp/239.3.1.116:8000$1920x1080
